"grade_id","student_id","subject_id","grade","date_received"
64,10,1,2.1,2023-02-26
65,10,2,2.9,2021-04-16
66,10,3,4.1,2021-12-10
67,10,4,4.6,2022-02-24
68,10,5,4.8,2021-02-11
69,10,6,3.2,2022-08-22
70,10,7,2.5,2021-06-09
71,11,1,5.0,2023-09-09
72,11,2,3.5,2021-04-09
73,11,3,4.0,2022-02-23
74,11,4,3.8,2022-04-19
75,11,5,3.3,2023-09-15
76,11,6,2.0,2022-11-10
77,11,7,3.5,2021-09-28
78,12,1,4.3,2021-08-12
79,12,2,4.2,2021-05-11
80,12,3,3.8,2021-09-29
81,12,4,2.1,2021-11-24
82,12,5,2.2,2022-04-20
83,12,6,3.6,2023-02-08
84,12,7,3.3,2021-08-29
85,13,1,2.8,2022-02-21
86,13,2,2.9,2021-10-04
87,13,3,4.7,2021-10-15
88,13,4,2.4,2022-11-19
89,13,5,2.9,2022-02-04
90,13,6,4.3,2023-11-22
91,13,7,4.1,2021-03-12
92,14,1,3.9,2023-10-24
93,14,2,3.3,2022-03-10
94,14,3,4.4,2021-10-11
95,14,4,2.1,2021-05-07
96,14,5,4.4,2022-10-05
97,14,6,2.4,2021-08-16
98,14,7,2.6,2023-08-23
99,15,1,2.9,2023-01-03
100,15,2,3.6,2021-07-19
101,15,3,4.8,2021-09-17
102,15,4,2.7,2023-06-22
103,15,5,3.8,2021-04-19
104,15,6,3.4,2021-03-31
105,15,7,3.3,2021-05-23
106,16,1,4.8,2022-01-17
107,16,2,2.9,2021-09-06
108,16,3,2.8,2021-06-07
109,16,4,4.4,2023-12-29
110,16,5,3.5,2023-09-06
111,16,6,4.4,2023-01-25
112,16,7,4.7,2021-02-26
113,17,1,4.7,2024-01-31
114,17,2,5.0,2023-12-09
115,17,3,2.7,2021-07-27
116,17,4,4.0,2023-03-18
117,17,5,2.7,2022-09-26
118,17,6,4.6,2023-01-21
119,17,7,2.3,2021-07-31
120,18,1,2.4,2023-05-12
121,18,2,3.8,2023-01-30
122,18,3,4.1,2021-12-26
123,18,4,3.5,2023-09-19
124,18,5,2.3,2022-09-21
125,18,6,4.9,2021-12-26
126,18,7,4.2,2024-01-01
127,19,1,2.5,2021-05-09
128,19,2,2.2,2022-10-22
129,19,3,2.2,2021-07-22
130,19,4,4.7,2021-12-17
131,19,5,4.1,2021-07-22
132,19,6,2.1,2022-05-20
133,19,7,4.4,2022-07-25
134,20,1,4.1,2023-11-17
135,20,2,2.9,2022-07-07
136,20,3,3.4,2021-05-30
137,20,4,3.2,2022-01-23
138,20,5,2.3,2022-11-21
139,20,6,4.2,2023-09-11
140,20,7,4.9,2023-10-13
141,21,1,3.3,2022-06-07
142,21,2,4.9,2023-12-13
143,21,3,4.1,2022-07-12
144,21,4,4.1,2023-12-09
145,21,5,2.2,2022-12-01
146,21,6,3.4,2021-11-17
147,21,7,5.0,2021-03-09
148,22,1,3.3,2023-11-23
149,22,2,3.8,2022-10-01
150,22,3,4.5,2023-07-04
151,22,4,3.7,2024-02-02
152,22,5,2.1,2023-03-10
153,22,6,3.9,2021-10-01
154,22,7,3.4,2021-10-28
155,23,1,3.7,2022-06-10
156,23,2,4.8,2022-04-03
157,23,3,3.4,2022-04-02
158,23,4,2.1,2022-09-06
159,23,5,3.0,2022-04-23
160,23,6,3.1,2023-03-10
161,23,7,3.9,2022-02-05
162,24,1,4.7,2021-02-21
163,24,2,4.0,2021-07-09
164,24,3,2.7,2023-12-15
165,24,4,4.5,2022-09-29
166,24,5,4.7,2022-06-24
167,24,6,2.1,2022-04-12
168,24,7,2.1,2021-05-07
169,25,1,2.6,2021-05-04
170,25,2,2.8,2021-02-11
171,25,3,4.0,2022-10-25
172,25,4,4.1,2022-08-05
173,25,5,2.7,2022-11-28
174,25,6,4.6,2023-12-09
175,25,7,3.2,2023-06-17
176,26,1,2.8,2023-07-07
177,26,2,2.1,2021-12-31
178,26,3,2.8,2023-08-16
179,26,4,2.3,2023-02-28
180,26,5,2.4,2022-02-24
181,26,6,3.8,2023-10-17
182,26,7,3.5,2021-06-29
183,27,1,4.6,2023-05-25
184,27,2,3.8,2023-06-13
185,27,3,2.1,2021-08-02
186,27,4,3.3,2023-05-08
187,27,5,3.7,2021-07-25
188,27,6,2.4,2021-08-19
189,27,7,4.3,2021-07-20
190,28,1,2.4,2022-01-08
191,28,2,3.4,2022-06-09
192,28,3,3.3,2022-10-05
193,28,4,3.5,2023-08-24
194,28,5,4.3,2021-07-04
195,28,6,2.4,2021-11-11
196,28,7,3.3,2021-02-15
197,29,1,2.3,2023-05-31
198,29,2,2.2,2023-10-23
199,29,3,4.0,2021-12-26
200,29,4,2.4,2023-06-27
201,29,5,3.2,2023-02-03
202,29,6,3.8,2023-10-08
203,29,7,2.4,2022-07-18
204,30,1,3.1,2022-05-29
205,30,2,4.0,2021-09-07
206,30,3,4.1,2022-08-25
207,30,4,4.6,2022-03-07
208,30,5,4.0,2022-04-08
209,30,6,3.9,2023-01-14
210,30,7,2.8,2022-11-12
